TF_ID	Gene_ID	Family
Cotton_A_10385_BGI-A2_v1.0	Cotton_A_10385	bZIP
Cotton_A_10427_BGI-A2_v1.0	Cotton_A_10427	GeBP
Cotton_A_10509_BGI-A2_v1.0	Cotton_A_10509	TCP
Cotton_A_10517_BGI-A2_v1.0	Cotton_A_10517	GATA
Cotton_A_10525_BGI-A2_v1.0	Cotton_A_10525	bZIP
Cotton_A_10526_BGI-A2_v1.0	Cotton_A_10526	EIL
Cotton_A_10566_BGI-A2_v1.0	Cotton_A_10566	GRAS
Cotton_A_10567_BGI-A2_v1.0	Cotton_A_10567	GRAS
Cotton_A_10770_BGI-A2_v1.0	Cotton_A_10770	bZIP
Cotton_A_10833_BGI-A2_v1.0	Cotton_A_10833	bZIP
Cotton_A_10840_BGI-A2_v1.0	Cotton_A_10840	bHLH
Cotton_A_10855_BGI-A2_v1.0	Cotton_A_10855	bHLH
Cotton_A_10947_BGI-A2_v1.0	Cotton_A_10947	TCP
Cotton_A_11012_BGI-A2_v1.0	Cotton_A_11012	SRS
Cotton_A_11031_BGI-A2_v1.0	Cotton_A_11031	NF-YC
Cotton_A_11053_BGI-A2_v1.0	Cotton_A_11053	Dof
Cotton_A_11125_BGI-A2_v1.0	Cotton_A_11125	GRAS
Cotton_A_11156_BGI-A2_v1.0	Cotton_A_11156	HSF
Cotton_A_11168_BGI-A2_v1.0	Cotton_A_11168	CPP
Cotton_A_11175_BGI-A2_v1.0	Cotton_A_11175	bHLH
Cotton_A_11194_BGI-A2_v1.0	Cotton_A_11194	bHLH
Cotton_A_11203_BGI-A2_v1.0	Cotton_A_11203	ZF-HD
Cotton_A_11210_BGI-A2_v1.0	Cotton_A_11210	EIL
Cotton_A_11245_BGI-A2_v1.0	Cotton_A_11245	NF-YB
Cotton_A_11262_BGI-A2_v1.0	Cotton_A_11262	WRKY
Cotton_A_11266_BGI-A2_v1.0	Cotton_A_11266	WRKY
Cotton_A_11275_BGI-A2_v1.0	Cotton_A_11275	Dof
Cotton_A_11283_BGI-A2_v1.0	Cotton_A_11283	bHLH
Cotton_A_11307_BGI-A2_v1.0	Cotton_A_11307	LBD
Cotton_A_11309_BGI-A2_v1.0	Cotton_A_11309	VOZ
Cotton_A_11313_BGI-A2_v1.0	Cotton_A_11313	NAC
Cotton_A_11336_BGI-A2_v1.0	Cotton_A_11336	Dof
Cotton_A_11337_BGI-A2_v1.0	Cotton_A_11337	Dof
Cotton_A_11365_BGI-A2_v1.0	Cotton_A_11365	NAC
Cotton_A_11417_BGI-A2_v1.0	Cotton_A_11417	GeBP
Cotton_A_11430_BGI-A2_v1.0	Cotton_A_11430	NF-YC
Cotton_A_11462_BGI-A2_v1.0	Cotton_A_11462	YABBY
Cotton_A_11627_BGI-A2_v1.0	Cotton_A_11627	HSF
Cotton_A_11632_BGI-A2_v1.0	Cotton_A_11632	CPP
Cotton_A_11719_BGI-A2_v1.0	Cotton_A_11719	BBR-BPC
Cotton_A_11720_BGI-A2_v1.0	Cotton_A_11720	BBR-BPC
Cotton_A_11747_BGI-A2_v1.0	Cotton_A_11747	SBP
Cotton_A_11750_BGI-A2_v1.0	Cotton_A_11750	WRKY
Cotton_A_11760_BGI-A2_v1.0	Cotton_A_11760	Dof
Cotton_A_11840_BGI-A2_v1.0	Cotton_A_11840	Trihelix
Cotton_A_11876_BGI-A2_v1.0	Cotton_A_11876	Nin-like
Cotton_A_11893_BGI-A2_v1.0	Cotton_A_11893	GATA
Cotton_A_11953_BGI-A2_v1.0	Cotton_A_11953	Dof
Cotton_A_11954_BGI-A2_v1.0	Cotton_A_11954	LBD
Cotton_A_11975_BGI-A2_v1.0	Cotton_A_11975	SRS
Cotton_A_12034_BGI-A2_v1.0	Cotton_A_12034	Dof
Cotton_A_12052_BGI-A2_v1.0	Cotton_A_12052	WRKY
Cotton_A_12101_BGI-A2_v1.0	Cotton_A_12101	GRAS
Cotton_A_12235_BGI-A2_v1.0	Cotton_A_12235	bHLH
Cotton_A_12289_BGI-A2_v1.0	Cotton_A_12289	WRKY
Cotton_A_12302_BGI-A2_v1.0	Cotton_A_12302	FAR1
Cotton_A_12365_BGI-A2_v1.0	Cotton_A_12365	WRKY
Cotton_A_12399_BGI-A2_v1.0	Cotton_A_12399	WRKY
Cotton_A_12455_BGI-A2_v1.0	Cotton_A_12455	GRAS
Cotton_A_12583_BGI-A2_v1.0	Cotton_A_12583	bZIP
Cotton_A_12607_BGI-A2_v1.0	Cotton_A_12607	NAC
Cotton_A_12618_BGI-A2_v1.0	Cotton_A_12618	SBP
Cotton_A_12652_BGI-A2_v1.0	Cotton_A_12652	Nin-like
Cotton_A_12683_BGI-A2_v1.0	Cotton_A_12683	NAC
Cotton_A_12693_BGI-A2_v1.0	Cotton_A_12693	SBP
Cotton_A_12715_BGI-A2_v1.0	Cotton_A_12715	NF-YC
Cotton_A_12716_BGI-A2_v1.0	Cotton_A_12716	GRAS
Cotton_A_12728_BGI-A2_v1.0	Cotton_A_12728	Trihelix
Cotton_A_12729_BGI-A2_v1.0	Cotton_A_12729	Trihelix
Cotton_A_12742_BGI-A2_v1.0	Cotton_A_12742	Dof
Cotton_A_12754_BGI-A2_v1.0	Cotton_A_12754	GRAS
Cotton_A_12983_BGI-A2_v1.0	Cotton_A_12983	NF-YA
Cotton_A_13010_BGI-A2_v1.0	Cotton_A_13010	Trihelix
Cotton_A_13064_BGI-A2_v1.0	Cotton_A_13064	ZF-HD
Cotton_A_13074_BGI-A2_v1.0	Cotton_A_13074	NAC
Cotton_A_13082_BGI-A2_v1.0	Cotton_A_13082	Dof
Cotton_A_13127_BGI-A2_v1.0	Cotton_A_13127	NAC
Cotton_A_13185_BGI-A2_v1.0	Cotton_A_13185	Trihelix
Cotton_A_13198_BGI-A2_v1.0	Cotton_A_13198	NAC
Cotton_A_13206_BGI-A2_v1.0	Cotton_A_13206	bHLH
Cotton_A_13227_BGI-A2_v1.0	Cotton_A_13227	Dof
Cotton_A_13266_BGI-A2_v1.0	Cotton_A_13266	SRS
Cotton_A_13300_BGI-A2_v1.0	Cotton_A_13300	NF-YC
Cotton_A_13320_BGI-A2_v1.0	Cotton_A_13320	LBD
Cotton_A_13322_BGI-A2_v1.0	Cotton_A_13322	Dof
Cotton_A_13395_BGI-A2_v1.0	Cotton_A_13395	NAC
Cotton_A_13405_BGI-A2_v1.0	Cotton_A_13405	Dof
Cotton_A_13408_BGI-A2_v1.0	Cotton_A_13408	Nin-like
Cotton_A_13425_BGI-A2_v1.0	Cotton_A_13425	bZIP
Cotton_A_13446_BGI-A2_v1.0	Cotton_A_13446	HSF
Cotton_A_13484_BGI-A2_v1.0	Cotton_A_13484	Dof
Cotton_A_13487_BGI-A2_v1.0	Cotton_A_13487	NAC
Cotton_A_13494_BGI-A2_v1.0	Cotton_A_13494	NAC
Cotton_A_13575_BGI-A2_v1.0	Cotton_A_13575	BES1
Cotton_A_13667_BGI-A2_v1.0	Cotton_A_13667	NAC
Cotton_A_13669_BGI-A2_v1.0	Cotton_A_13669	NAC
Cotton_A_13728_BGI-A2_v1.0	Cotton_A_13728	NAC
Cotton_A_13729_BGI-A2_v1.0	Cotton_A_13729	BES1
Cotton_A_13766_BGI-A2_v1.0	Cotton_A_13766	ZF-HD
Cotton_A_13783_BGI-A2_v1.0	Cotton_A_13783	bHLH
Cotton_A_13784_BGI-A2_v1.0	Cotton_A_13784	bHLH
Cotton_A_13785_BGI-A2_v1.0	Cotton_A_13785	bHLH
Cotton_A_13825_BGI-A2_v1.0	Cotton_A_13825	LBD
Cotton_A_13845_BGI-A2_v1.0	Cotton_A_13845	NF-X1
Cotton_A_13859_BGI-A2_v1.0	Cotton_A_13859	NAC
Cotton_A_13877_BGI-A2_v1.0	Cotton_A_13877	NF-YB
Cotton_A_13887_BGI-A2_v1.0	Cotton_A_13887	bZIP
Cotton_A_13980_BGI-A2_v1.0	Cotton_A_13980	LBD
Cotton_A_14006_BGI-A2_v1.0	Cotton_A_14006	GATA
Cotton_A_14067_BGI-A2_v1.0	Cotton_A_14067	bHLH
Cotton_A_14073_BGI-A2_v1.0	Cotton_A_14073	WRKY
Cotton_A_14075_BGI-A2_v1.0	Cotton_A_14075	bHLH
Cotton_A_14093_BGI-A2_v1.0	Cotton_A_14093	NAC
Cotton_A_14124_BGI-A2_v1.0	Cotton_A_14124	SBP
Cotton_A_14161_BGI-A2_v1.0	Cotton_A_14161	BES1
Cotton_A_14180_BGI-A2_v1.0	Cotton_A_14180	CPP
Cotton_A_14191_BGI-A2_v1.0	Cotton_A_14191	bHLH
Cotton_A_14201_BGI-A2_v1.0	Cotton_A_14201	GATA
Cotton_A_14256_BGI-A2_v1.0	Cotton_A_14256	bZIP
Cotton_A_14292_BGI-A2_v1.0	Cotton_A_14292	LBD
Cotton_A_14312_BGI-A2_v1.0	Cotton_A_14312	bHLH
Cotton_A_14315_BGI-A2_v1.0	Cotton_A_14315	bZIP
Cotton_A_14318_BGI-A2_v1.0	Cotton_A_14318	bHLH
Cotton_A_14367_BGI-A2_v1.0	Cotton_A_14367	bZIP
Cotton_A_14392_BGI-A2_v1.0	Cotton_A_14392	WRKY
Cotton_A_14405_BGI-A2_v1.0	Cotton_A_14405	bHLH
Cotton_A_14412_BGI-A2_v1.0	Cotton_A_14412	LBD
Cotton_A_14431_BGI-A2_v1.0	Cotton_A_14431	TCP
Cotton_A_14441_BGI-A2_v1.0	Cotton_A_14441	GRAS
Cotton_A_14508_BGI-A2_v1.0	Cotton_A_14508	HSF
Cotton_A_14549_BGI-A2_v1.0	Cotton_A_14549	HRT-like
Cotton_A_14550_BGI-A2_v1.0	Cotton_A_14550	HRT-like
Cotton_A_14557_BGI-A2_v1.0	Cotton_A_14557	HSF
Cotton_A_14593_BGI-A2_v1.0	Cotton_A_14593	TCP
Cotton_A_14650_BGI-A2_v1.0	Cotton_A_14650	GATA
Cotton_A_14653_BGI-A2_v1.0	Cotton_A_14653	ZF-HD
Cotton_A_14671_BGI-A2_v1.0	Cotton_A_14671	bZIP
Cotton_A_14689_BGI-A2_v1.0	Cotton_A_14689	SRS
Cotton_A_14693_BGI-A2_v1.0	Cotton_A_14693	GATA
Cotton_A_14726_BGI-A2_v1.0	Cotton_A_14726	TCP
Cotton_A_14739_BGI-A2_v1.0	Cotton_A_14739	bHLH
Cotton_A_14745_BGI-A2_v1.0	Cotton_A_14745	WRKY
Cotton_A_14771_BGI-A2_v1.0	Cotton_A_14771	GRAS
Cotton_A_14777_BGI-A2_v1.0	Cotton_A_14777	GATA
Cotton_A_14779_BGI-A2_v1.0	Cotton_A_14779	bHLH
Cotton_A_14790_BGI-A2_v1.0	Cotton_A_14790	bHLH
Cotton_A_14845_BGI-A2_v1.0	Cotton_A_14845	bHLH
Cotton_A_14848_BGI-A2_v1.0	Cotton_A_14848	LBD
Cotton_A_14875_BGI-A2_v1.0	Cotton_A_14875	WRKY
Cotton_A_14899_BGI-A2_v1.0	Cotton_A_14899	HSF
Cotton_A_14902_BGI-A2_v1.0	Cotton_A_14902	bHLH
Cotton_A_14914_BGI-A2_v1.0	Cotton_A_14914	bHLH
Cotton_A_14977_BGI-A2_v1.0	Cotton_A_14977	Trihelix
Cotton_A_14981_BGI-A2_v1.0	Cotton_A_14981	CPP
Cotton_A_14999_BGI-A2_v1.0	Cotton_A_14999	GeBP
Cotton_A_15023_BGI-A2_v1.0	Cotton_A_15023	GATA
Cotton_A_15056_BGI-A2_v1.0	Cotton_A_15056	WRKY
Cotton_A_15184_BGI-A2_v1.0	Cotton_A_15184	NAC
Cotton_A_15200_BGI-A2_v1.0	Cotton_A_15200	bHLH
Cotton_A_15221_BGI-A2_v1.0	Cotton_A_15221	FAR1
Cotton_A_15254_BGI-A2_v1.0	Cotton_A_15254	bHLH
Cotton_A_15314_BGI-A2_v1.0	Cotton_A_15314	Trihelix
Cotton_A_15315_BGI-A2_v1.0	Cotton_A_15315	Trihelix
Cotton_A_15346_BGI-A2_v1.0	Cotton_A_15346	bHLH
Cotton_A_15348_BGI-A2_v1.0	Cotton_A_15348	bHLH
Cotton_A_15356_BGI-A2_v1.0	Cotton_A_15356	bZIP
Cotton_A_15447_BGI-A2_v1.0	Cotton_A_15447	bHLH
Cotton_A_15465_BGI-A2_v1.0	Cotton_A_15465	Dof
Cotton_A_15474_BGI-A2_v1.0	Cotton_A_15474	NAC
Cotton_A_15493_BGI-A2_v1.0	Cotton_A_15493	FAR1
Cotton_A_15519_BGI-A2_v1.0	Cotton_A_15519	WRKY
Cotton_A_15595_BGI-A2_v1.0	Cotton_A_15595	WRKY
Cotton_A_15600_BGI-A2_v1.0	Cotton_A_15600	bZIP
Cotton_A_15634_BGI-A2_v1.0	Cotton_A_15634	NF-YC
Cotton_A_15640_BGI-A2_v1.0	Cotton_A_15640	bHLH
Cotton_A_15646_BGI-A2_v1.0	Cotton_A_15646	NAC
Cotton_A_15654_BGI-A2_v1.0	Cotton_A_15654	bHLH
Cotton_A_15656_BGI-A2_v1.0	Cotton_A_15656	bHLH
Cotton_A_15664_BGI-A2_v1.0	Cotton_A_15664	NAC
Cotton_A_15665_BGI-A2_v1.0	Cotton_A_15665	NAC
Cotton_A_15677_BGI-A2_v1.0	Cotton_A_15677	SBP
Cotton_A_15693_BGI-A2_v1.0	Cotton_A_15693	WRKY
Cotton_A_15701_BGI-A2_v1.0	Cotton_A_15701	bHLH
Cotton_A_15733_BGI-A2_v1.0	Cotton_A_15733	WRKY
Cotton_A_15754_BGI-A2_v1.0	Cotton_A_15754	LBD
Cotton_A_15785_BGI-A2_v1.0	Cotton_A_15785	NAC
Cotton_A_15821_BGI-A2_v1.0	Cotton_A_15821	GATA
Cotton_A_15893_BGI-A2_v1.0	Cotton_A_15893	NAC
Cotton_A_15951_BGI-A2_v1.0	Cotton_A_15951	bZIP
Cotton_A_16006_BGI-A2_v1.0	Cotton_A_16006	WRKY
Cotton_A_16018_BGI-A2_v1.0	Cotton_A_16018	NF-YA
Cotton_A_16049_BGI-A2_v1.0	Cotton_A_16049	GATA
Cotton_A_16113_BGI-A2_v1.0	Cotton_A_16113	GRAS
Cotton_A_16240_BGI-A2_v1.0	Cotton_A_16240	Trihelix
Cotton_A_16296_BGI-A2_v1.0	Cotton_A_16296	NAC
Cotton_A_16333_BGI-A2_v1.0	Cotton_A_16333	GRAS
Cotton_A_16334_BGI-A2_v1.0	Cotton_A_16334	GRAS
Cotton_A_16339_BGI-A2_v1.0	Cotton_A_16339	GRAS
Cotton_A_16353_BGI-A2_v1.0	Cotton_A_16353	Nin-like
Cotton_A_16395_BGI-A2_v1.0	Cotton_A_16395	SRS
Cotton_A_16446_BGI-A2_v1.0	Cotton_A_16446	bZIP
Cotton_A_16456_BGI-A2_v1.0	Cotton_A_16456	Trihelix
Cotton_A_16493_BGI-A2_v1.0	Cotton_A_16493	HSF
Cotton_A_16536_BGI-A2_v1.0	Cotton_A_16536	bZIP
Cotton_A_16544_BGI-A2_v1.0	Cotton_A_16544	CAMTA
Cotton_A_16593_BGI-A2_v1.0	Cotton_A_16593	GATA
Cotton_A_16652_BGI-A2_v1.0	Cotton_A_16652	bZIP
Cotton_A_16658_BGI-A2_v1.0	Cotton_A_16658	WRKY
Cotton_A_16692_BGI-A2_v1.0	Cotton_A_16692	GATA
Cotton_A_16694_BGI-A2_v1.0	Cotton_A_16694	bHLH
Cotton_A_16748_BGI-A2_v1.0	Cotton_A_16748	bHLH
Cotton_A_16773_BGI-A2_v1.0	Cotton_A_16773	NAC
Cotton_A_16783_BGI-A2_v1.0	Cotton_A_16783	SBP
Cotton_A_16813_BGI-A2_v1.0	Cotton_A_16813	NAC
Cotton_A_16824_BGI-A2_v1.0	Cotton_A_16824	GRAS
Cotton_A_16830_BGI-A2_v1.0	Cotton_A_16830	LBD
Cotton_A_16840_BGI-A2_v1.0	Cotton_A_16840	bHLH
Cotton_A_16876_BGI-A2_v1.0	Cotton_A_16876	bZIP
Cotton_A_16993_BGI-A2_v1.0	Cotton_A_16993	HSF
Cotton_A_16998_BGI-A2_v1.0	Cotton_A_16998	LBD
Cotton_A_17001_BGI-A2_v1.0	Cotton_A_17001	Dof
Cotton_A_17002_BGI-A2_v1.0	Cotton_A_17002	Dof
Cotton_A_17020_BGI-A2_v1.0	Cotton_A_17020	GRAS
Cotton_A_17084_BGI-A2_v1.0	Cotton_A_17084	WRKY
Cotton_A_17088_BGI-A2_v1.0	Cotton_A_17088	LBD
Cotton_A_17125_BGI-A2_v1.0	Cotton_A_17125	NAC
Cotton_A_17214_BGI-A2_v1.0	Cotton_A_17214	GATA
Cotton_A_17275_BGI-A2_v1.0	Cotton_A_17275	NAC
Cotton_A_17293_BGI-A2_v1.0	Cotton_A_17293	bHLH
Cotton_A_17309_BGI-A2_v1.0	Cotton_A_17309	WRKY
Cotton_A_17319_BGI-A2_v1.0	Cotton_A_17319	LBD
Cotton_A_17341_BGI-A2_v1.0	Cotton_A_17341	bZIP
Cotton_A_17362_BGI-A2_v1.0	Cotton_A_17362	NAC
Cotton_A_17373_BGI-A2_v1.0	Cotton_A_17373	Trihelix
Cotton_A_17419_BGI-A2_v1.0	Cotton_A_17419	YABBY
Cotton_A_17473_BGI-A2_v1.0	Cotton_A_17473	Dof
Cotton_A_17491_BGI-A2_v1.0	Cotton_A_17491	bHLH
Cotton_A_17517_BGI-A2_v1.0	Cotton_A_17517	WRKY
Cotton_A_17537_BGI-A2_v1.0	Cotton_A_17537	Trihelix
Cotton_A_17542_BGI-A2_v1.0	Cotton_A_17542	Dof
Cotton_A_17556_BGI-A2_v1.0	Cotton_A_17556	WRKY
Cotton_A_17577_BGI-A2_v1.0	Cotton_A_17577	HSF
Cotton_A_17599_BGI-A2_v1.0	Cotton_A_17599	ZF-HD
Cotton_A_17640_BGI-A2_v1.0	Cotton_A_17640	bHLH
Cotton_A_17661_BGI-A2_v1.0	Cotton_A_17661	HSF
Cotton_A_17743_BGI-A2_v1.0	Cotton_A_17743	WRKY
Cotton_A_17744_BGI-A2_v1.0	Cotton_A_17744	bHLH
Cotton_A_17778_BGI-A2_v1.0	Cotton_A_17778	WRKY
Cotton_A_17801_BGI-A2_v1.0	Cotton_A_17801	GATA
Cotton_A_17918_BGI-A2_v1.0	Cotton_A_17918	bHLH
Cotton_A_17926_BGI-A2_v1.0	Cotton_A_17926	GRAS
Cotton_A_18010_BGI-A2_v1.0	Cotton_A_18010	NF-YB
Cotton_A_18089_BGI-A2_v1.0	Cotton_A_18089	NAC
Cotton_A_18123_BGI-A2_v1.0	Cotton_A_18123	NAC
Cotton_A_18125_BGI-A2_v1.0	Cotton_A_18125	NAC
Cotton_A_18181_BGI-A2_v1.0	Cotton_A_18181	WRKY
Cotton_A_18282_BGI-A2_v1.0	Cotton_A_18282	FAR1
Cotton_A_18314_BGI-A2_v1.0	Cotton_A_18314	WRKY
Cotton_A_18397_BGI-A2_v1.0	Cotton_A_18397	Nin-like
Cotton_A_18412_BGI-A2_v1.0	Cotton_A_18412	WRKY
Cotton_A_18421_BGI-A2_v1.0	Cotton_A_18421	GRAS
Cotton_A_18426_BGI-A2_v1.0	Cotton_A_18426	NAC
Cotton_A_18441_BGI-A2_v1.0	Cotton_A_18441	bZIP
Cotton_A_18442_BGI-A2_v1.0	Cotton_A_18442	bZIP
Cotton_A_18477_BGI-A2_v1.0	Cotton_A_18477	GRAS
Cotton_A_18548_BGI-A2_v1.0	Cotton_A_18548	Dof
Cotton_A_18579_BGI-A2_v1.0	Cotton_A_18579	GRAS
Cotton_A_18601_BGI-A2_v1.0	Cotton_A_18601	NF-YB
Cotton_A_18661_BGI-A2_v1.0	Cotton_A_18661	bHLH
Cotton_A_18709_BGI-A2_v1.0	Cotton_A_18709	bHLH
Cotton_A_18714_BGI-A2_v1.0	Cotton_A_18714	WRKY
Cotton_A_18778_BGI-A2_v1.0	Cotton_A_18778	BES1
Cotton_A_18789_BGI-A2_v1.0	Cotton_A_18789	NF-YB
Cotton_A_18878_BGI-A2_v1.0	Cotton_A_18878	bHLH
Cotton_A_18920_BGI-A2_v1.0	Cotton_A_18920	LBD
Cotton_A_18980_BGI-A2_v1.0	Cotton_A_18980	LBD
Cotton_A_19100_BGI-A2_v1.0	Cotton_A_19100	bHLH
Cotton_A_19125_BGI-A2_v1.0	Cotton_A_19125	TCP
Cotton_A_19208_BGI-A2_v1.0	Cotton_A_19208	WRKY
Cotton_A_19209_BGI-A2_v1.0	Cotton_A_19209	WRKY
Cotton_A_19238_BGI-A2_v1.0	Cotton_A_19238	LBD
Cotton_A_19259_BGI-A2_v1.0	Cotton_A_19259	Dof
Cotton_A_19285_BGI-A2_v1.0	Cotton_A_19285	LBD
Cotton_A_19301_BGI-A2_v1.0	Cotton_A_19301	bHLH
Cotton_A_19336_BGI-A2_v1.0	Cotton_A_19336	NAC
Cotton_A_19366_BGI-A2_v1.0	Cotton_A_19366	bHLH
Cotton_A_19391_BGI-A2_v1.0	Cotton_A_19391	bHLH
Cotton_A_19428_BGI-A2_v1.0	Cotton_A_19428	bHLH
Cotton_A_19514_BGI-A2_v1.0	Cotton_A_19514	bHLH
Cotton_A_19549_BGI-A2_v1.0	Cotton_A_19549	bHLH
Cotton_A_19573_BGI-A2_v1.0	Cotton_A_19573	bZIP
Cotton_A_19599_BGI-A2_v1.0	Cotton_A_19599	GRAS
Cotton_A_19623_BGI-A2_v1.0	Cotton_A_19623	Dof
Cotton_A_19722_BGI-A2_v1.0	Cotton_A_19722	bHLH
Cotton_A_19731_BGI-A2_v1.0	Cotton_A_19731	bZIP
Cotton_A_19751_BGI-A2_v1.0	Cotton_A_19751	SRS
Cotton_A_19756_BGI-A2_v1.0	Cotton_A_19756	GATA
Cotton_A_19790_BGI-A2_v1.0	Cotton_A_19790	bZIP
Cotton_A_19820_BGI-A2_v1.0	Cotton_A_19820	WRKY
Cotton_A_19848_BGI-A2_v1.0	Cotton_A_19848	NAC
Cotton_A_19854_BGI-A2_v1.0	Cotton_A_19854	ZF-HD
Cotton_A_19865_BGI-A2_v1.0	Cotton_A_19865	FAR1
Cotton_A_19924_BGI-A2_v1.0	Cotton_A_19924	Trihelix
Cotton_A_19936_BGI-A2_v1.0	Cotton_A_19936	NF-YC
Cotton_A_19943_BGI-A2_v1.0	Cotton_A_19943	SBP
Cotton_A_19944_BGI-A2_v1.0	Cotton_A_19944	WRKY
Cotton_A_20105_BGI-A2_v1.0	Cotton_A_20105	bZIP
Cotton_A_20110_BGI-A2_v1.0	Cotton_A_20110	TCP
Cotton_A_20172_BGI-A2_v1.0	Cotton_A_20172	bZIP
Cotton_A_20189_BGI-A2_v1.0	Cotton_A_20189	SBP
Cotton_A_20237_BGI-A2_v1.0	Cotton_A_20237	Trihelix
Cotton_A_20271_BGI-A2_v1.0	Cotton_A_20271	NF-YC
Cotton_A_20431_BGI-A2_v1.0	Cotton_A_20431	GRAS
Cotton_A_20475_BGI-A2_v1.0	Cotton_A_20475	GATA
Cotton_A_20510_BGI-A2_v1.0	Cotton_A_20510	YABBY
Cotton_A_20511_BGI-A2_v1.0	Cotton_A_20511	bZIP
Cotton_A_20528_BGI-A2_v1.0	Cotton_A_20528	LBD
Cotton_A_20542_BGI-A2_v1.0	Cotton_A_20542	bZIP
Cotton_A_20550_BGI-A2_v1.0	Cotton_A_20550	bZIP
Cotton_A_20634_BGI-A2_v1.0	Cotton_A_20634	LBD
Cotton_A_20638_BGI-A2_v1.0	Cotton_A_20638	NAC
Cotton_A_20658_BGI-A2_v1.0	Cotton_A_20658	NAC
Cotton_A_20674_BGI-A2_v1.0	Cotton_A_20674	LBD
Cotton_A_20675_BGI-A2_v1.0	Cotton_A_20675	LBD
Cotton_A_20678_BGI-A2_v1.0	Cotton_A_20678	WRKY
Cotton_A_20681_BGI-A2_v1.0	Cotton_A_20681	WRKY
Cotton_A_20682_BGI-A2_v1.0	Cotton_A_20682	WRKY
Cotton_A_20686_BGI-A2_v1.0	Cotton_A_20686	bHLH
Cotton_A_20714_BGI-A2_v1.0	Cotton_A_20714	bZIP
Cotton_A_20721_BGI-A2_v1.0	Cotton_A_20721	GATA
Cotton_A_20785_BGI-A2_v1.0	Cotton_A_20785	bHLH
Cotton_A_20787_BGI-A2_v1.0	Cotton_A_20787	bHLH
Cotton_A_20830_BGI-A2_v1.0	Cotton_A_20830	GATA
Cotton_A_20980_BGI-A2_v1.0	Cotton_A_20980	bHLH
Cotton_A_21002_BGI-A2_v1.0	Cotton_A_21002	NAC
Cotton_A_21012_BGI-A2_v1.0	Cotton_A_21012	WRKY
Cotton_A_21044_BGI-A2_v1.0	Cotton_A_21044	Trihelix
Cotton_A_21066_BGI-A2_v1.0	Cotton_A_21066	NF-YB
Cotton_A_21074_BGI-A2_v1.0	Cotton_A_21074	bHLH
Cotton_A_21075_BGI-A2_v1.0	Cotton_A_21075	bHLH
Cotton_A_21139_BGI-A2_v1.0	Cotton_A_21139	bZIP
Cotton_A_21152_BGI-A2_v1.0	Cotton_A_21152	FAR1
Cotton_A_21153_BGI-A2_v1.0	Cotton_A_21153	FAR1
Cotton_A_21154_BGI-A2_v1.0	Cotton_A_21154	FAR1
Cotton_A_21202_BGI-A2_v1.0	Cotton_A_21202	WRKY
Cotton_A_21204_BGI-A2_v1.0	Cotton_A_21204	Trihelix
Cotton_A_21232_BGI-A2_v1.0	Cotton_A_21232	CAMTA
Cotton_A_21315_BGI-A2_v1.0	Cotton_A_21315	bHLH
Cotton_A_21341_BGI-A2_v1.0	Cotton_A_21341	bHLH
Cotton_A_21348_BGI-A2_v1.0	Cotton_A_21348	LBD
Cotton_A_21357_BGI-A2_v1.0	Cotton_A_21357	GRAS
Cotton_A_21360_BGI-A2_v1.0	Cotton_A_21360	GRAS
Cotton_A_21420_BGI-A2_v1.0	Cotton_A_21420	GRAS
Cotton_A_21424_BGI-A2_v1.0	Cotton_A_21424	Dof
Cotton_A_21459_BGI-A2_v1.0	Cotton_A_21459	BES1
Cotton_A_21539_BGI-A2_v1.0	Cotton_A_21539	bHLH
Cotton_A_21588_BGI-A2_v1.0	Cotton_A_21588	TCP
Cotton_A_21593_BGI-A2_v1.0	Cotton_A_21593	bHLH
Cotton_A_21628_BGI-A2_v1.0	Cotton_A_21628	SBP
Cotton_A_21637_BGI-A2_v1.0	Cotton_A_21637	Trihelix
Cotton_A_21667_BGI-A2_v1.0	Cotton_A_21667	bHLH
Cotton_A_21679_BGI-A2_v1.0	Cotton_A_21679	GRAS
Cotton_A_21713_BGI-A2_v1.0	Cotton_A_21713	LBD
Cotton_A_21720_BGI-A2_v1.0	Cotton_A_21720	bHLH
Cotton_A_21785_BGI-A2_v1.0	Cotton_A_21785	GRAS
Cotton_A_21790_BGI-A2_v1.0	Cotton_A_21790	CAMTA
Cotton_A_21797_BGI-A2_v1.0	Cotton_A_21797	GATA
Cotton_A_21855_BGI-A2_v1.0	Cotton_A_21855	GRAS
Cotton_A_21898_BGI-A2_v1.0	Cotton_A_21898	GATA
Cotton_A_21939_BGI-A2_v1.0	Cotton_A_21939	WRKY
Cotton_A_21953_BGI-A2_v1.0	Cotton_A_21953	WRKY
Cotton_A_22025_BGI-A2_v1.0	Cotton_A_22025	HSF
Cotton_A_22046_BGI-A2_v1.0	Cotton_A_22046	bZIP
Cotton_A_22052_BGI-A2_v1.0	Cotton_A_22052	GRAS
Cotton_A_22053_BGI-A2_v1.0	Cotton_A_22053	WRKY
Cotton_A_22063_BGI-A2_v1.0	Cotton_A_22063	WRKY
Cotton_A_22072_BGI-A2_v1.0	Cotton_A_22072	WRKY
Cotton_A_22086_BGI-A2_v1.0	Cotton_A_22086	WRKY
Cotton_A_22097_BGI-A2_v1.0	Cotton_A_22097	Dof
Cotton_A_22103_BGI-A2_v1.0	Cotton_A_22103	CPP
