Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Cotton_A_20787	bHLH	MP00091	Gossypium arboreum	SELEX	PlantTFDB	transfer from AT4G21330(Arabidopsis thaliana)
Cotton_A_21002	NAC	MP00257	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G02450(Arabidopsis thaliana)
Cotton_A_21012	WRKY	MP00531	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G26170(Arabidopsis thaliana)
Cotton_A_21180	ERF	MP00312	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G44940(Arabidopsis thaliana)
Cotton_A_21588	TCP	MP00007	Gossypium arboreum	PBM	PlantTFDB	transfer from 495258(Arabidopsis lyrata)
Cotton_A_21730	MYB_related	MP00607	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT1G49950(Arabidopsis thaliana)
Cotton_A_21797	GATA	MP00335	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G06740(Arabidopsis thaliana)
Cotton_A_22289	TCP	MP00009	Gossypium arboreum	PBM	PlantTFDB	transfer from 929286(Arabidopsis lyrata)
Cotton_A_22342	Trihelix	MP00481	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G01380(Arabidopsis thaliana)
Cotton_A_22356	MYB	MP00132	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G08810(Arabidopsis thaliana)
Cotton_A_22387	NF-YB	MP00133	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G09030(Arabidopsis thaliana)
Cotton_A_22458	ERF	MP00374	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G23240(Arabidopsis thaliana)
Cotton_A_22691	B3	MP00382	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G26790(Arabidopsis thaliana)
Cotton_A_22751	MYB_related	MP00626	Gossypium arboreum	PBM	PlantTFDB	transfer from PK06103.1(Cannabis sativa)
Cotton_A_22934	WRKY	MP00317	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G46130(Arabidopsis thaliana)
Cotton_A_23027	C3H	MP00383	Gossypium arboreum	ampDAP	PlantTFDB	transfer from AT1G68200(Arabidopsis thaliana)
Cotton_A_23128	NAC	MP00439	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G17980(Arabidopsis thaliana)
Cotton_A_23215	WRKY	MP00069	Gossypium arboreum	PBM	PlantTFDB	transfer from AT2G47260(Arabidopsis thaliana)
Cotton_A_23397	ARF	MP00461	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G30080(Arabidopsis thaliana)
Cotton_A_23544	ERF	MP00595	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G67190(Arabidopsis thaliana)
Cotton_A_23834	bZIP	MP00303	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G40620(Arabidopsis thaliana)
Cotton_A_23869	ERF	MP00556	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G51190(Arabidopsis thaliana)
Cotton_A_24348	bHLH	MP00035	Gossypium arboreum	PBM	PlantTFDB	transfer from AT4G36930(Arabidopsis thaliana)
Cotton_A_24381	LBD	MP00314	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G45420(Arabidopsis thaliana)
Cotton_A_24457	bZIP	MP00318	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G46270(Arabidopsis thaliana)
Cotton_A_24486	bZIP	MP00349	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G12250(Arabidopsis thaliana)
Cotton_A_24895	Trihelix	MP00666	Gossypium arboreum	PBM	PlantTFDB	transfer from GSVIVG01007522001(Vitis vinifera)
Cotton_A_24945	NAC	MP00507	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G13180(Arabidopsis thaliana)
Cotton_A_25003	bHLH	MP00219	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G69010(Arabidopsis thaliana)
Cotton_A_25258	bHLH	MP00135	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G10120(Arabidopsis thaliana)
Cotton_A_25268	TALE	MP00675	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from GRMZM2G017087(Zea mays)
Cotton_A_25408	MYB	MP00406	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G53200(Arabidopsis thaliana)
Cotton_A_25665	ARR-B	MP00010	Gossypium arboreum	PBM	PlantTFDB	transfer from AT1G67710(Arabidopsis thaliana)
Cotton_A_25722	ERF	MP00584	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G64750(Arabidopsis thaliana)
Cotton_A_25817	bZIP	MP00647	Gossypium arboreum	PBM	PlantTFDB	transfer from LOC_Os02g49560(Oryza sativa subsp. japonica)
Cotton_A_25837	MYB	MP00388	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G30210(Arabidopsis thaliana)
Cotton_A_25910	WRKY	MP00251	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G80840(Arabidopsis thaliana)
Cotton_A_26168	TCP	MP00006	Gossypium arboreum	PBM	PlantTFDB	transfer from 493022(Arabidopsis lyrata)
Cotton_A_26283	bZIP	MP00131	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G08320(Arabidopsis thaliana)
Cotton_A_26317	HD-ZIP	MP00550	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G47370(Arabidopsis thaliana)
Cotton_A_26358	MYB	MP00627	Gossypium arboreum	PBM	PlantTFDB	transfer from PK06182.1(Cannabis sativa)
Cotton_A_26389	Dof	MP00407	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G55370(Arabidopsis thaliana)
Cotton_A_26408	MYB_related	MP00119	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G01060(Arabidopsis thaliana)
Cotton_A_26473	MYB	MP00500	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G08520(Arabidopsis thaliana)
Cotton_A_26708	AP2	MP00504	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G10510(Arabidopsis thaliana)
Cotton_A_26728	MYB	MP00334	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G06490(Arabidopsis thaliana)
Cotton_A_26928	MYB	MP00476	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G37260(Arabidopsis thaliana)
Cotton_A_27019	MYB	MP00216	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G68320(Arabidopsis thaliana)
Cotton_A_27084	HD-ZIP	MP00322	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G01220(Arabidopsis thaliana)
Cotton_A_27227	TCP	MP00326	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G02150(Arabidopsis thaliana)
Cotton_A_27309	ERF	MP00521	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G19790(Arabidopsis thaliana)
Cotton_A_27562	MYB	MP00490	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G06100(Arabidopsis thaliana)
Cotton_A_27567	bZIP	MP00409	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G56850(Arabidopsis thaliana)
Cotton_A_27664	MYB	MP00222	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G69560(Arabidopsis thaliana)
Cotton_A_27669	ARF	MP00153	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G19850(Arabidopsis thaliana)
Cotton_A_27707	WRKY	MP00618	Gossypium arboreum	PBM	PlantTFDB	transfer from AT2G44745(Arabidopsis thaliana)
Cotton_A_27957	HD-ZIP	MP00225	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G69780(Arabidopsis thaliana)
Cotton_A_28180	WRKY	MP00464	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G31550(Arabidopsis thaliana)
Cotton_A_28359	ERF	MP00120	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G01250(Arabidopsis thaliana)
Cotton_A_28638	LBD	MP00309	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G42430(Arabidopsis thaliana)
Cotton_A_29100	bZIP	MP00039	Gossypium arboreum	PBM	PlantTFDB	transfer from AT4G36730(Arabidopsis thaliana)
Cotton_A_29174	bZIP	MP00019	Gossypium arboreum	PBM	PlantTFDB	transfer from AT1G42990(Arabidopsis thaliana)
Cotton_A_29176	NAC	MP00059	Gossypium arboreum	PBM	PlantTFDB	transfer from AT5G04410(Arabidopsis thaliana)
Cotton_A_29337	G2-like	MP00544	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G45580(Arabidopsis thaliana)
Cotton_A_29358	NAC	MP00353	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G12910(Arabidopsis thaliana)
Cotton_A_29496	WRKY	MP00067	Gossypium arboreum	PBM	PlantTFDB	transfer from AT1G69310(Arabidopsis thaliana)
Cotton_A_29620	bZIP	MP00038	Gossypium arboreum	PBM	PlantTFDB	transfer from AT4G34000(Arabidopsis thaliana)
Cotton_A_29801	bHLH	MP00571	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G61270(Arabidopsis thaliana)
Cotton_A_30087	SBP	MP00604	Gossypium arboreum	PBM	PlantTFDB	transfer from AT5G18830(Arabidopsis thaliana)
Cotton_A_30115	Dof	MP00570	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G60850(Arabidopsis thaliana)
Cotton_A_30212	MIKC_MADS	MP00096	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT1G69120(Arabidopsis thaliana)
Cotton_A_30531	GATA	MP00451	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G24470(Arabidopsis thaliana)
Cotton_A_30610	ZF-HD	MP00387	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G28920(Arabidopsis thaliana)
Cotton_A_30638	G2-like	MP00014	Gossypium arboreum	PBM	PlantTFDB	transfer from AT3G46640(Arabidopsis thaliana)
Cotton_A_30811	GRAS	MP00611	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT2G01570(Arabidopsis thaliana)
Cotton_A_31202	bHLH	MP00034	Gossypium arboreum	PBM	PlantTFDB	transfer from AT4G00050(Arabidopsis thaliana)
Cotton_A_31207	SBP	MP00090	Gossypium arboreum	SELEX	PlantTFDB	transfer from AT1G02065(Arabidopsis thaliana)
Cotton_A_31263	WRKY	MP00422	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G01250(Arabidopsis thaliana)
Cotton_A_31311	MYB	MP00089	Gossypium arboreum	SELEX	PlantTFDB	transfer from AT3G49690(Arabidopsis thaliana)
Cotton_A_31334	Dof	MP00281	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G28810(Arabidopsis thaliana)
Cotton_A_31808	GATA	MP00415	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G60530(Arabidopsis thaliana)
Cotton_A_31809	GATA	MP00415	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G60530(Arabidopsis thaliana)
Cotton_A_31916	bZIP	MP00419	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G62420(Arabidopsis thaliana)
Cotton_A_31971	TCP	MP00065	Gossypium arboreum	PBM	PlantTFDB	transfer from AT5G60970(Arabidopsis thaliana)
Cotton_A_32041	C2H2	MP00229	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G72050(Arabidopsis thaliana)
Cotton_A_32186	MIKC_MADS	MP00508	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G13790(Arabidopsis thaliana)
Cotton_A_32341	HD-ZIP	MP00421	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G00730(Arabidopsis thaliana)
Cotton_A_32434	ERF	MP00469	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G34410(Arabidopsis thaliana)
Cotton_A_32480	C2H2	MP00487	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G04390(Arabidopsis thaliana)
Cotton_A_32489	C2H2	MP00522	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G22890(Arabidopsis thaliana)
Cotton_A_32578	AP2	MP00088	Gossypium arboreum	SELEX	PlantTFDB	transfer from AT4G37750(Arabidopsis thaliana)
Cotton_A_32735	MYB	MP00114	Gossypium arboreum	ampDAP	PlantTFDB	transfer from AT3G61250(Arabidopsis thaliana)
Cotton_A_32741	ERF	MP00217	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G68550(Arabidopsis thaliana)
Cotton_A_32766	bHLH	MP00099	Gossypium arboreum	PBM	PlantTFDB	transfer from AT4G16430(Arabidopsis thaliana)
Cotton_A_32868	C2H2	MP00485	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G03150(Arabidopsis thaliana)
Cotton_A_33039	B3	MP00468	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G33280(Arabidopsis thaliana)
Cotton_A_33118	G2-like	MP00378	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G24120(Arabidopsis thaliana)
Cotton_A_33523	ERF	MP00358	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G15210(Arabidopsis thaliana)
Cotton_A_33803	Nin-like	MP00449	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G24020(Arabidopsis thaliana)
Cotton_A_33861	B3	MP00083	Gossypium arboreum	PBM	PlantTFDB	transfer from AT3G24650(Arabidopsis thaliana)
Cotton_A_34171	HSF	MP00443	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G18880(Arabidopsis thaliana)
Cotton_A_34469	bHLH	MP00074	Gossypium arboreum	ChIP-chip	PlantTFDB	transfer from AT2G20180(Arabidopsis thaliana)
Cotton_A_34527	WOX	MP00617	Gossypium arboreum	PBM	PlantTFDB	transfer from AT4G35550(Arabidopsis thaliana)
Cotton_A_34645	CAMTA	MP00435	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G16150(Arabidopsis thaliana)
Cotton_A_34762	MYB	MP00579	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G62470(Arabidopsis thaliana)
Cotton_A_35320	HD-ZIP	MP00320	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G46680(Arabidopsis thaliana)
Cotton_A_35376	MYB	MP00249	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G79180(Arabidopsis thaliana)
Cotton_A_35449	RAV	MP00139	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G13260(Arabidopsis thaliana)
Cotton_A_35453	G2-like	MP00160	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G25550(Arabidopsis thaliana)
Cotton_A_35591	C2H2	MP00416	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G60580(Arabidopsis thaliana)
Cotton_A_35599	YABBY	MP00620	Gossypium arboreum	PBM	PlantTFDB	transfer from AT2G45190(Arabidopsis thaliana)
Cotton_A_35948	bZIP	MP00294	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G36270(Arabidopsis thaliana)
Cotton_A_35951	GATA	MP00377	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G24050(Arabidopsis thaliana)
Cotton_A_36024	BBR-BPC	MP00253	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G01930(Arabidopsis thaliana)
Cotton_A_36026	ZF-HD	MP00143	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G14687(Arabidopsis thaliana)
Cotton_A_36235	NAC	MP00277	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G24430(Arabidopsis thaliana)
Cotton_A_36314	MYB	MP00505	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G11510(Arabidopsis thaliana)
Cotton_A_36402	NAC	MP00017	Gossypium arboreum	PBM	PlantTFDB	transfer from AT1G71930(Arabidopsis thaliana)
Cotton_A_36414	MYB	MP00375	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G23250(Arabidopsis thaliana)
Cotton_A_36525	bHLH	MP00181	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G35460(Arabidopsis thaliana)
Cotton_A_36707	ERF	MP00542	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G44210(Arabidopsis thaliana)
Cotton_A_36752	NAC	MP00058	Gossypium arboreum	PBM	PlantTFDB	transfer from AT1G61110(Arabidopsis thaliana)
Cotton_A_36834	ERF	MP00227	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G71450(Arabidopsis thaliana)
Cotton_A_37015	MYB	MP00089	Gossypium arboreum	SELEX	PlantTFDB	transfer from AT3G49690(Arabidopsis thaliana)
Cotton_A_37018	HD-ZIP	MP00477	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G37790(Arabidopsis thaliana)
Cotton_A_37093	HSF	MP00187	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G46264(Arabidopsis thaliana)
Cotton_A_37143	ERF	MP00027	Gossypium arboreum	PBM	PlantTFDB	transfer from AT4G23750(Arabidopsis thaliana)
Cotton_A_37559	FAR1	MP00078	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT3G22170(Arabidopsis thaliana)
Cotton_A_37622	HSF	MP00305	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G41690(Arabidopsis thaliana)
Cotton_A_37831	MIKC_MADS	MP00272	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G22540(Arabidopsis thaliana)
Cotton_A_37863	E2F/DP	MP00397	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G48160(Arabidopsis thaliana)
Cotton_A_37867	C2H2	MP00255	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G02070(Arabidopsis thaliana)
Cotton_A_38191	MIKC_MADS	MP00030	Gossypium arboreum	SELEX	PlantTFDB	transfer from AT2G03710(Arabidopsis thaliana)
Cotton_A_38326	MYB	MP00259	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G02820(Arabidopsis thaliana)
Cotton_A_38394	ZF-HD	MP00238	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G75240(Arabidopsis thaliana)
Cotton_A_38434	ERF	MP00441	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G18450(Arabidopsis thaliana)
Cotton_A_38462	BBR-BPC	MP00540	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G42520(Arabidopsis thaliana)
Cotton_A_38604	YABBY	MP00220	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G69180(Arabidopsis thaliana)
Cotton_A_38636	bHLH	MP00102	Gossypium arboreum	PBM	PlantTFDB	transfer from AT4G14410(Arabidopsis thaliana)
Cotton_A_38692	Dof	MP00295	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G37590(Arabidopsis thaliana)
Cotton_A_38701	HSF	MP00379	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G24520(Arabidopsis thaliana)
Cotton_A_39037	EIL	MP00233	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G73730(Arabidopsis thaliana)
Cotton_A_39066	WOX	MP00330	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G03660(Arabidopsis thaliana)
Cotton_A_39067	MYB	MP00516	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G17800(Arabidopsis thaliana)
Cotton_A_39342	C2H2	MP00254	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G01940(Arabidopsis thaliana)
Cotton_A_39554	SBP	MP00307	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G42200(Arabidopsis thaliana)
Cotton_A_40092	MYB	MP00191	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G49010(Arabidopsis thaliana)
Cotton_A_40148	MIKC_MADS	MP00609	Gossypium arboreum	ChIP-seq	PlantTFDB	transfer from AT4G18960(Arabidopsis thaliana)
Cotton_A_40387	G2-like	MP00629	Gossypium arboreum	PBM	PlantTFDB	transfer from PK14402.1(Cannabis sativa)
Cotton_A_40611	Dof	MP00295	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G37590(Arabidopsis thaliana)
Cotton_A_40823	TCP	MP00636	Gossypium arboreum	PBM	PlantTFDB	transfer from Glyma.19G095300(Glycine max)
